trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.7, 'e': 0.37499999999999944}",20,5,-68.1006275276399,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.7, 'e': 0.36999999999999944}",25,11,25.321096454000475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.36499999999999944}",25,3,8.446572632274517,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.35999999999999943}",25,0,-74.78994215141871,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.3549999999999994}",20,2,19.63397115399413,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.3499999999999994}",30,23,15.216459393281324,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.3449999999999994}",20,13,1.5292044498211466,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.3399999999999994}",35,9,-30.09683845660947,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.3349999999999994}",20,0,-7.517798606155717,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.3299999999999994}",20,2,23.84295966390586,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.3249999999999994}",25,3,13.823661423257063,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.3199999999999994}",20,13,14.005878592944146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.3149999999999994}",20,0,-8.506652450625484,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.3099999999999994}",20,3,-24.567788982098403,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.7, 'e': 0.3049999999999994}",25,9,24.224735273795815,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.2999999999999994}",30,19,12.016987493022992,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.2949999999999994}",25,10,-3.514897261047938,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.28999999999999937}",25,19,13.387613878699918,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.28499999999999936}",30,18,-0.3434312119868743,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.27999999999999936}",25,14,9.294216116609528,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.27499999999999936}",30,16,21.77244232593255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.26999999999999935}",25,10,-16.170757374092013,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.26499999999999935}",25,7,17.22750864722753,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.25999999999999934}",20,10,5.405838960379926,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.25499999999999934}",20,10,17.989693514549618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.24999999999999933}",20,9,-20.231287504710807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.7, 'e': 0.24499999999999933}",30,0,1.777491050183714,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.23999999999999932}",25,0,27.398952251669726,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.7, 'e': 0.23499999999999932}",20,12,-33.511290013577614,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.7, 'e': 0.22999999999999932}",30,13,-5.409290782388618,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.2249999999999993}",20,7,-0.6543566670829106,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.2199999999999993}",30,15,26.798861982059595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.2149999999999993}",25,0,-16.17761198476284,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.7, 'e': 0.2099999999999993}",20,11,3.0965225782521184,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.2049999999999993}",35,19,25.542246144961954,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.1999999999999993}",20,11,16.30513062324739,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.19499999999999929}",30,10,35.745174085915835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.18999999999999928}",20,3,-0.37498690449732397,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.18499999999999928}",20,16,5.637522483523966,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.17999999999999927}",30,18,18.296869277772913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.17499999999999927}",30,16,28.964408835227136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.16999999999999926}",25,6,17.450314000251037,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.16499999999999926}",20,12,15.555372649221782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.15999999999999925}",25,18,12.247338086050423,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.15499999999999925}",20,14,0.6682221148233467,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.14999999999999925}",30,15,16.846105902769427,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.14499999999999924}",25,11,12.294471362359733,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.13999999999999924}",20,3,31.015177420498276,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.13499999999999923}",25,13,-0.9904239887841018,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.12999999999999923}",20,16,7.1694881289185455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.12499999999999922}",20,12,13.31069851783103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.11999999999999922}",20,9,22.45044481715974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.11499999999999921}",25,15,4.51105856390355,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.10999999999999921}",20,12,18.72930022697861,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.1049999999999992}",30,20,-25.710563291352912,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.7, 'e': 0.0999999999999992}",20,11,9.702390009758046,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,19,19.2448236044678,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,16.0519914109689,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,15.606765051364842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
